iter	Passed	Remaining
0	2	211
1	4	198
2	5	190
3	7	178
4	9	179
5	11	177
6	13	174
7	14	171
8	16	168
9	18	166
10	20	163
11	22	162
12	23	160
13	25	158
14	27	156
15	29	154
16	31	152
17	33	150
18	35	149
19	36	147
20	38	145
21	40	143
22	42	141
23	44	139
24	45	137
25	47	135
26	49	133
27	51	131
28	53	130
29	54	128
30	56	126
31	58	124
32	60	122
33	62	120
34	64	119
35	66	117
36	68	116
37	70	115
38	72	113
39	74	111
40	76	109
41	76	106
42	78	104
43	80	102
44	82	100
45	84	99
46	86	97
47	88	95
48	90	93
49	92	92
50	94	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	106	77
58	108	75
59	110	73
60	112	71
61	114	69
62	115	68
63	117	66
64	119	64
65	121	62
66	123	60
67	125	59
68	127	57
69	129	55
70	131	53
71	133	51
72	135	50
73	137	48
74	139	46
75	141	44
76	143	42
77	145	41
78	147	39
79	149	37
80	151	35
81	153	33
82	155	31
83	157	30
84	159	28
85	161	26
86	162	24
87	164	22
88	167	20
89	169	18
90	171	16
91	173	15
92	175	13
93	177	11
94	179	9
95	181	7
96	183	5
97	187	3
98	189	1
99	191	0
