iter	Passed	Remaining
0	172	171963
1	177	88511
2	181	60348
3	186	46387
4	191	38077
5	195	32469
6	201	28568
7	206	25620
8	211	23234
9	215	21332
10	222	20011
11	227	18690
12	233	17724
13	239	16832
14	242	15947
15	248	15312
16	254	14707
17	258	14124
18	264	13652
19	269	13199
20	273	12770
21	279	12411
22	284	12071
23	288	11747
24	295	11512
25	299	11236
26	304	10968
27	309	10746
28	314	10536
29	319	10314
30	327	10249
31	333	10077
32	340	9986
33	345	9809
34	349	9640
35	355	9515
36	360	9378
37	365	9244
38	370	9140
39	373	8975
40	376	8814
41	379	8651
42	381	8492
43	385	8374
44	387	8229
45	389	8081
46	391	7944
47	393	7806
48	394	7663
49	396	7527
50	397	7403
51	399	7286
52	401	7165
53	402	7045
54	403	6929
55	404	6819
56	405	6714
57	407	6613
58	408	6516
59	410	6423
60	411	6332
61	413	6262
62	415	6184
63	417	6106
64	419	6027
65	420	5951
66	421	5876
67	423	5802
68	424	5729
69	426	5661
70	428	5611
71	430	5547
72	432	5485
73	433	5423
74	434	5362
75	436	5303
76	437	5246
77	439	5191
78	441	5141
79	444	5109
80	446	5067
81	448	5017
82	449	4961
83	450	4913
84	452	4867
85	453	4823
86	455	4777
87	457	4736
88	459	4707
89	461	4666
90	463	4626
91	464	4583
92	465	4542
93	467	4501
94	468	4461
95	469	4421
96	471	4385
97	474	4365
98	475	4331
99	477	4295
100	478	4260
101	479	4223
102	481	4190
103	482	4157
104	483	4125
105	485	4093
106	486	4063
107	489	4044
108	491	4015
109	492	3986
110	494	3957
111	495	3927
112	496	3898
113	498	3871
114	499	3844
115	501	3818
116	503	3796
117	504	3770
118	506	3748
119	507	3722
120	509	3698
121	510	3671
122	511	3648
123	512	3623
124	514	3599
125	516	3580
126	518	3567
127	520	3546
128	522	3525
129	523	3504
130	524	3481
131	526	3460
132	527	3439
133	528	3418
134	530	3398
135	531	3377
136	534	3365
137	536	3350
138	537	3330
139	539	3311
140	540	3292
141	541	3271
142	543	3254
143	544	3237
144	546	3220
145	549	3213
146	550	3196
147	552	3181
148	554	3164
149	555	3149
150	557	3132
151	558	3115
152	559	3098
153	560	3081
154	563	3070
155	565	3056
156	566	3041
157	567	3026
158	569	3012
159	570	2997
160	571	2979
161	572	2963
162	574	2947
163	575	2933
164	576	2919
165	578	2907
166	580	2893
167	581	2879
168	582	2865
169	584	2851
170	585	2837
171	586	2823
172	587	2809
173	589	2796
174	590	2783
175	591	2770
176	593	2759
177	595	2748
178	596	2735
179	597	2722
180	598	2708
181	599	2695
182	600	2683
183	602	2670
184	603	2658
185	604	2645
186	605	2633
187	608	2626
188	609	2615
189	610	2604
190	612	2592
191	613	2580
192	614	2569
193	616	2559
194	617	2548
195	618	2537
196	619	2526
197	620	2515
198	622	2507
199	624	2499
200	626	2488
201	627	2478
202	628	2468
203	630	2458
204	631	2449
205	632	2439
206	634	2429
207	635	2419
208	637	2412
209	639	2404
210	640	2395
211	641	2385
212	643	2376
213	644	2367
214	645	2357
215	646	2348
216	648	2338
217	649	2329
218	650	2320
219	652	2315
220	654	2307
221	655	2298
222	656	2289
223	658	2280
224	659	2271
225	660	2263
226	662	2254
227	663	2246
228	664	2237
229	665	2229
230	668	2224
231	669	2217
232	671	2209
233	672	2201
234	673	2192
235	674	2184
236	676	2176
237	677	2168
238	678	2160
239	679	2152
240	680	2144
241	683	2141
242	685	2135
243	686	2127
244	687	2119
245	689	2112
246	690	2104
247	691	2096
248	692	2088
249	693	2081
250	694	2073
251	696	2067
252	698	2061
253	699	2055
254	701	2048
255	702	2041
256	703	2035
257	705	2028
258	706	2022
259	708	2015
260	709	2009
261	711	2004
262	713	1999
263	715	1995
264	717	1988
265	718	1982
266	719	1976
267	721	1969
268	722	1963
269	723	1957
270	725	1951
271	728	1948
272	729	1943
273	731	1937
274	732	1931
275	733	1925
276	735	1919
277	736	1913
278	737	1907
279	740	1905
280	742	1899
281	743	1893
282	745	1887
283	746	1881
284	747	1875
285	749	1870
286	750	1864
287	752	1859
288	753	1854
289	755	1850
290	757	1846
291	759	1841
292	761	1837
293	762	1831
294	764	1826
295	765	1820
296	766	1815
297	768	1809
298	771	1807
299	772	1802
300	773	1797
301	775	1791
302	776	1786
303	777	1780
304	779	1775
305	780	1769
306	781	1764
307	783	1759
308	785	1756
309	786	1751
310	788	1746
311	789	1740
312	790	1735
313	792	1730
314	793	1725
315	794	1720
316	796	1715
317	797	1710
318	800	1708
319	801	1704
320	803	1698
321	804	1693
322	805	1688
323	806	1683
324	808	1678
325	809	1674
326	811	1669
327	812	1664
328	814	1661
329	816	1656
330	817	1652
331	819	1648
332	820	1643
333	821	1638
334	823	1634
335	824	1629
336	826	1625
337	827	1620
338	830	1618
339	831	1614
340	833	1610
341	834	1605
342	835	1600
343	837	1596
344	838	1592
345	840	1588
346	841	1583
347	842	1579
348	844	1575
349	846	1572
350	847	1567
351	849	1563
352	850	1558
353	851	1554
354	853	1550
355	854	1545
356	855	1541
357	857	1537
358	859	1534
359	861	1530
360	862	1526
361	863	1521
362	864	1517
363	866	1513
364	867	1508
365	868	1504
366	869	1499
367	870	1495
368	872	1491
369	874	1488
370	876	1485
371	877	1481
372	879	1477
373	880	1473
374	882	1470
375	883	1466
376	884	1462
377	886	1458
378	887	1454
379	890	1452
380	891	1448
381	893	1445
382	894	1441
383	895	1437
384	897	1433
385	898	1429
386	900	1425
387	901	1421
388	902	1418
389	905	1415
390	906	1412
391	908	1408
392	909	1405
393	911	1401
394	912	1397
395	913	1393
396	915	1390
397	916	1386
398	918	1383
399	920	1380
400	921	1377
401	923	1373
402	924	1369
403	926	1366
404	927	1362
405	929	1359
406	930	1355
407	932	1352
408	934	1349
409	935	1346
410	937	1343
411	939	1340
412	941	1337
413	942	1334
414	944	1330
415	945	1328
416	947	1324
417	950	1322
418	951	1319
419	953	1316
420	954	1313
421	956	1310
422	958	1306
423	959	1303
424	961	1300
425	962	1296
426	964	1294
427	966	1291
428	968	1288
429	969	1285
430	971	1282
431	972	1278
432	974	1275
433	975	1272
434	977	1269
435	979	1267
436	981	1264
437	983	1261
438	984	1258
439	985	1254
440	987	1251
441	988	1248
442	990	1244
443	991	1241
444	992	1238
445	994	1235
446	996	1232
447	997	1229
448	999	1226
449	1000	1223
450	1002	1220
451	1003	1217
452	1005	1213
453	1006	1210
454	1009	1208
455	1011	1206
456	1012	1203
457	1014	1200
458	1015	1197
459	1017	1194
460	1019	1191
461	1020	1188
462	1022	1186
463	1025	1184
464	1027	1182
465	1028	1178
466	1030	1176
467	1032	1173
468	1034	1171
469	1035	1168
470	1038	1166
471	1039	1163
472	1041	1160
473	1042	1157
474	1043	1153
475	1045	1150
476	1046	1147
477	1048	1144
478	1049	1142
479	1051	1138
480	1053	1137
481	1055	1134
482	1057	1131
483	1058	1128
484	1059	1125
485	1061	1123
486	1063	1120
487	1064	1117
488	1065	1113
489	1068	1112
490	1070	1109
491	1071	1106
492	1073	1103
493	1074	1100
494	1075	1097
495	1076	1094
496	1078	1091
497	1079	1088
498	1080	1084
499	1081	1081
500	1083	1079
501	1085	1076
502	1086	1073
503	1088	1071
504	1089	1068
505	1091	1065
506	1092	1062
507	1093	1059
508	1095	1056
509	1096	1053
510	1099	1051
511	1100	1049
512	1102	1046
513	1103	1043
514	1104	1040
515	1106	1037
516	1107	1034
517	1109	1032
518	1110	1029
519	1112	1026
520	1114	1024
521	1116	1022
522	1117	1019
523	1119	1016
524	1120	1013
525	1122	1011
526	1124	1009
527	1126	1006
528	1129	1005
529	1130	1002
530	1132	999
531	1133	997
532	1135	994
533	1136	991
534	1137	988
535	1139	986
536	1140	983
537	1141	980
538	1143	978
539	1145	975
540	1146	973
541	1148	970
542	1149	967
543	1151	964
544	1152	962
545	1154	959
546	1155	956
547	1157	954
548	1158	952
549	1161	950
550	1162	947
551	1163	944
552	1165	942
553	1166	939
554	1168	936
555	1169	933
556	1170	931
557	1173	929
558	1175	927
559	1176	924
560	1178	922
561	1179	919
562	1181	916
563	1182	914
564	1183	911
565	1185	908
566	1186	906
567	1188	904
568	1190	901
569	1191	898
570	1192	896
571	1194	893
572	1195	891
573	1197	888
574	1198	885
575	1199	883
576	1202	881
577	1204	879
578	1206	877
579	1207	874
580	1209	872
581	1210	869
582	1212	867
583	1213	864
584	1215	862
585	1217	860
586	1219	857
587	1220	855
588	1222	852
589	1224	850
590	1225	848
591	1226	845
592	1228	843
593	1230	840
594	1232	838
595	1234	836
596	1235	834
597	1237	831
598	1238	829
599	1239	826
600	1241	824
601	1242	821
602	1244	819
603	1246	817
604	1247	814
605	1249	812
606	1250	809
607	1251	807
608	1253	804
609	1254	801
610	1255	799
611	1256	796
612	1258	794
613	1259	791
614	1260	789
615	1262	787
616	1264	784
617	1265	782
618	1267	780
619	1268	777
620	1269	775
621	1271	772
622	1272	770
623	1274	767
624	1275	765
625	1277	763
626	1279	761
627	1280	758
628	1282	756
629	1283	753
630	1285	751
631	1286	749
632	1287	746
633	1289	744
634	1290	741
635	1292	739
636	1294	737
637	1295	735
638	1297	732
639	1298	730
640	1300	728
641	1301	725
642	1303	723
643	1304	721
